timestamp,delta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,middleGamma,theta,isValid,pid,new_timestamp,trans_time,new_trans_time
1548206468534,165620,28906,59409,107163,40036,36253,592765,244138,1,6,1548206467545.0,0.989,220.885
1548206469545,47782,33631,97195,25344,44128,31438,1819617,233621,1,6,1548206468534.0,1.011,221.896
1548206470540,77876,95777,24479,43518,11500,9452,1487705,303676,1,6,1548206469545.0,0.995,222.891
1548206471530,9191,15940,3321,3823,566,966,620334,39600,1,6,1548206470540.0,0.99,223.881
1548206472524,2316,14861,4607,1632,1157,1651,79045,43164,1,6,1548206471530.0,0.994,224.875
1548206473510,725,3211,2158,1693,2318,2937,11496,9512,1,6,1548206472524.0,0.986,225.861
1548206474518,3200,1321,2593,3290,1249,2144,99571,24993,1,6,1548206473510.0,1.008,226.869
1548206475512,4886,7826,1319,1021,707,878,192896,2336,1,6,1548206474518.0,0.994,227.863
1548206476512,255389,115964,121935,149054,57614,76544,1586882,802574,1,6,1548206475512.0,1.0,228.863
1548206477496,6607,4590,6317,4420,3194,5676,383140,37847,1,6,1548206476512.0,0.984,229.847
1548206478501,5118,7090,12438,4992,2363,10534,329577,19491,1,6,1548206477496.0,1.005,230.852
1548206479481,4721,1582,10803,4955,14969,15787,53226,39888,1,6,1548206478501.0,0.98,231.832
1548206480481,44959,8414,8375,19193,4531,20168,206428,168717,1,6,1548206479481.0,1.0,232.832
1548206481481,5196,2143,9495,12785,7583,6379,77651,23454,1,6,1548206480481.0,1.0,233.832
1548206482519,10219,5289,7890,4248,6220,8739,6592,8451,1,6,1548206481481.0,1.038,234.87
1548206483465,3783,33743,2332,2914,1981,3002,38449,19333,1,6,1548206482519.0,0.946,235.816
1548206484452,13871,6080,9162,5992,9701,6384,23931,19173,1,6,1548206483465.0,0.987,236.803
1548206485459,13778,984,6503,5771,2905,5436,21893,3835,1,6,1548206484452.0,1.007,237.81
1548206486456,6317,1056,5915,5428,1493,1765,64108,12057,1,6,1548206485459.0,0.997,238.807
1548206487454,2452,3813,3044,2208,876,1487,68071,17123,1,6,1548206486456.0,0.998,239.805
1548206488420,4542,13806,6353,5094,3679,11306,27859,32429,1,6,1548206487454.0,0.966,240.771
1548206489423,20228,2553,8152,10711,4761,9908,45661,52740,1,6,1548206488420.0,1.003,241.774
1548206490439,657,1304,671,1316,563,233,182378,8390,1,6,1548206489423.0,1.016,242.79
1548206491407,36717,26172,7449,13424,3359,24055,87506,32919,1,6,1548206490439.0,0.968,243.758
1548206492425,2369,1724,1122,2232,837,759,208581,37238,1,6,1548206491407.0,1.018,244.776
1548206493425,3745,2478,2651,1843,1274,3495,184981,16604,1,6,1548206492425.0,1.0,245.776
1548206494395,4701,13600,3924,9970,4716,7845,52221,62740,1,6,1548206493425.0,0.97,246.746
1548206495416,38746,10020,20574,27192,19146,19531,6544,8575,1,6,1548206494395.0,1.021,247.767
1548206496390,10932,13508,21854,8346,16028,16314,7858,12302,1,6,1548206495416.0,0.974,248.741
1548206497387,20761,13762,23431,6410,5450,21739,3410,9492,1,6,1548206496390.0,0.997,249.738
1548206498385,10390,11683,8959,9113,7547,8774,4676,2500,1,6,1548206497387.0,0.998,250.736
1548206499396,7652,6108,25881,5867,5144,4949,4807,14040,1,6,1548206498385.0,1.011,251.747
